"","sentence","head","tail","relation"
"1001","Kaveladze testified that Futerfas reached out to him in June 2017, to ""collect information"" about the meeting and to ""know what [Kaveladze's] recollection was.""","Futerfas","Kaveladze","neutral1"
"1002","Schiller recalled Emin Agalarov and Aras Agalarov being at the meeting, and Schiller referred to it as a business-related meeting.","Emin Agalarov","Aras Agalarov","neutral2"
"1003","Donald Trump first met Emin Agalarov and Aras Agalarov in 2013 in an effort to bring the annual Miss Universe pageant to Moscow.","Donald Trump","Aras Agalarov","neutral2"
"1004","Steve Bannon's podcast has attracted a considerable audience among the president's supporters and has featured some of the president's associates as guests, including an appearance last week by former White House Chief of Staff Reince Priebus.","Reince Priebus","Steve Bannon","positive2"
"1005","Kaveladze and Goldstone knew each other because Kaveladze worked for Aras Agalarov and Goldstone worked for Emin Agalarov, but they were not close.","Kaveladze","Aras Agalarov","neutral1"
"1006","Referring back to the (surprise) sacking of Sergei Ivanov as Head of Russian Presidential Administration in August 2016, his replacement by Anton Vaino and the appointment of former Russian premier Sergei Kiriyenko to another senior position in the Russian Presidential Administration, the Kremlin insider repeated that this had been directly connected to the TRUMP support operation and the need to cover up now that it was being exposed by the USG and in the western media.","Sergei Ivanov","Russian Presidential Administration","negative1"
"1007","Based on information about Assange's computer and its possible operating system, this date may be when the GRU staged the stolen Podesta emails for transfer to WikiLeaks (as the GRU had previously done in July 2016 for the DNC emails).","GRU","DNC","negative1"
"1008","On February 29, 2016, Manafort sent another set of talking points to Barrack for his transmission to Trump.","Manafort","Barrack","neutral2"
"1009","At 3:38 p.m., Trump Jr. provided his cell phone number.","Trump Jr.","Rob Goldstone","neutral1"
"1010","Mangiante characterized Mifsud as being affiliated with a number of universities in Europe, including the Link Campus University in Rome, Italy; the University of East Anglia and the University of Stirling in the United Kingdom; as well as serving as the Director of the London Academy of Diplomacy.","Mifsud","University of Stirling","positive1"
"1011","Later that day, Cohen sent Sater images of every page of his passport.","Cohen","Sater","neutral2"
"1012","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Murad","Keith Schiller","neutral2"
"1013","Charlie Kushner, pursued by the feds for an income tax cheat, set up a scheme with a prostitute to blackmail his brother-in-law, who was planning to testify against him.","the feds","Charlie Kushner","negative1"
"1014","Then-FBI Director James Comey later confirmed to Congress the existence of the FBI's investigation into Russian government interference that had begun before the election.","FBI","Russian government","negative1"
"1015","On June 9, 2016, for example, a Russian lawyer met with senior Trump Campaign officials Donald Trump Jr., Jared Kushner, and campaign chairman Paul Manafort to deliver what the email proposing the meeting had described as ""official documents and information that would incriminate Hillary.""","Donald Trump Jr.","Jared Kushner","neutral2"
"1016","Akhmetshin had only expected Trump Jr., and not Manafort and Kushner.","Akhmetshin","Trump Jr.","positive1"
"1017","Gates was not aware of Manafort asking Kilimnik ""to reach out to his Russian contacts"" about the source of the leaked materials, and was not himself asked to contact Kilimnik about it.","Manafort","Kilimnik","neutral2"
"1018","Vladimir Putin agreeing that Donald is a good guy to negotiate.","Vladimir Putin","Donald","positive1"
"1019","Cohen eventually pleaded guilty to making intentionally false statements to this Committee and to the HPSCI related to the Trump Tower project.","Cohen","HPSCI","negative1"
"1020","IRA Facebook groups active during the 2016 campaign covered a range of political issues and included purported conservative groups (with names such as ""Being Patriotic"", ""Stop All Immigrants"", ""Secured Borders"", and ""Tea Party News""), purported Black social justice groups (""Black Matters"", ""Blacktivist"", and ""Don't Shoot Us""), LGBTQ groups (""LGBT United""), and religious groups (""United Muslims of America"").","IRA","""Black Matters""","neutral1"
"1021","[At the meeting] either Chaika or the Deputy Prosecutor General said Freeh should discuss follow-up details with Natalia Veselnitskaya. . . .","Chaika","Freeh","neutral2"
"1022","Department of State personnel in the U.S. Embassy in Kyiv who interacted directly with Manafort and PoR leaders viewed Kilimnik as ""Manafort's man in Bankova""(Bankova is a reference to Bankova Street in Kyiv where the Ukrainian Presidential Administration is housed) and understood that Kilimnik maintained access to the inner-most circles of Ukraine Government.","Kilimnik","Ukraine Government","neutral2"
"1023","Sam Clovis has already had lengthy discussions with Walid Phares and George Papadopoulos.","Sam Clovis","Walid Phares","neutral2"
"1024","Shortly after the GRU's first release of stolen documents through dcleaks.com in June 2016, GRU officers also used the DCLeaks persona to contact WikiLeaks about possible coordination in the future release of stolen emails.","DCLeaks","GRU","neutral2"
"1025","After Bannon assumed the role of Trump Campaign CEO, Stone repeated to him that he ""had a relationship with Assange and said that WikiLeaks was going to dump additional materials that would be bad for the Clinton Campaign.""","Bannon","Trump Campaign","neutral1"
"1026","Gates also spoke with Stone shortly after the release, and Stone confirmed that this was the information he had said would be coming out.","Gates","Stone","neutral2"
"1027","Before the first meeting about the New York governor’s race, Caputo said Roger Stone, then Trump’s political adviser, warned him that Cohen was “mercurial — you don’t want to get on his bad side.","Roger Stone","Trump","positive1"
"1028","Having made that point, name-dropping and vastly praising the firm’s key partners, Anthony Scaramucci then helped himself to a chair in Conway’s meeting and, for both Conway’s and her visitor’s benefit, offered a stirring testimonial to the uniqueness and sagacity of Donald Trump and the working-class people—speaking of which, he took the opportunity to provide a résumé of his own Long Island working-class bona fides—who had elected him.","Anthony Scaramucci","Conway","neutral2"
"1029","Two days later, on May 5, 2017, the President told close aides he was going to fire James Comey Jr., and on May 9, he did so, using his official termination letter to make public that James Comey Jr. had on three occasions informed the President that he was not under investigation.","the President","James Comey Jr.","neutral2"
"1030","Corsi and Stone spoke twice that day at length: once at 1:42 p.m. for 18 minutes, and once at 2:18 p.m. for 21 minutes.","Corsi","Stone","neutral2"
"1031","In June 2016, following the GRU's initial releases of stolen documents, WikiLeaks and the GRU personas exchanged the first of their many Twitter direct messages.","Wikileaks","GRU","neutral2"
"1032","Separately, on August 2, 2016, Trump campaign chairman Paul Manafort met in New York City with his long-time business associate Konstantin Kilimnik, who the FBI assesses to have ties to Russian intelligence.","Konstantin Kilimnik","Russia","neutral2"
"1033","The investigation did not establish that Smith was in contact with Russian hackers or that Smith, Ledeen, or other individuals in touch with the Trump Campaign ultimately obtained the deleted Clinton emails.","Ledeen","Trump Campaign","neutral2"
"1034","Later that day, January 19, 2016, Graff responded, copying Trump Jr. and Dan Scavino from the Trump Campaign.","Graff","Trump Jr.","neutral2"
"1035","And Emin Agalarov said again: ""There's information, it's potentially damaging to the Democrats and Hillary, and Emin Agalarov thinks you should contact the Trumps; my dad would really like this meeting to take place. ""","Emin Agalarov","Hillary","negative1"
"1036","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Olivia Culpo","Rob Goldstone","neutral2"
"1037","Manafort briefed Kilimnik on sensitive Campaign polling data and Trump Campaign's strategy for beating Hillary Clinton.","Trump Campaign","Hillary Clinton","negative1"
"1038","The IRA employee included a screenshot of candidate Trump's Facebook account, which included a post about the August 20, 2016 political rallies organized by the IRA.","Trump","IRA","positive2"
"1039","Manafort, Gates, Kilimnik, and others at Manafort's firm coordinated and managed polling work, media and advertising, the hiring of consultants, preparation of talking points, and speechwriting for Yanukovych and the PoR.","Manafort","Yanukovych","positive1"
"1040","Starting in March 2016, the GRU used spearphishing techniques to gain unauthorized access to the email accounts of individuals associated with the Clinton Campaign, including Campaign Manager John Podesta, and stole thousands of emails.","GRU","John Podesta","negative1"
"1041","Manafort worked with Fabrizio's company in an effort to create a questionnaire for the poll.","Manafort","Fabrizio's company","positive2"
"1042","According to Gates, whom Manafort hired to work on the Deripaska-directed projects starting in approximately 2007, the aim of Manafort's influence work for Deripaska was to install friendly political officials in countries where Deripaska had business interests.","Manafort","Deripaska","neutral1"
"1043","Trump was Cohen’s ticket to greater wealth, TV appearances and Page Six, the New York Post’s daily serving of intel about Manhattan’s jet set.","Trump","Cohen","positive1"
"1044","After the start of the proceeding in the Cayman Islands, Adam Waldman, Deripaska's U.S.-based lawyer, told the Committee that in approximately March 2015, Deripaska asked him to ""look into"" the Pericles matter.237 Waldman recalled that he sought to locate Manafort, which ""took some doing.”","Adam Waldman","Deripaska","neutral1"
"1045","Kirill Dmitriev, the chief executive officer of Russia's sovereign wealth fund, was among the Russians who tried to make contact with the incoming administration.","Kirill Dmitriev","Russia's sovereign wealth fund","neutral1"
"1046","The PoR did not have its own budget or centralized committee to pay for the work of Manafort's and his firm, DMP, in Ukraine.","Manafort","DMP","neutral2"
"1047","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Michael Cohen","Aras Agalarov","neutral2"
"1048","Manafort explained his strategy in the battleground states and told Kilimnik about polls that identified voter bases in blue-collar, democratic-leaning states which Trump could swing.","Manafort","Kilimnik","neutral2"
"1049","Samochomov recalled that Kushner sat across the table.","Kushner","Paul Manafort","neutral2"
"1050","Donald Trump Jr. then forwarded the message to senior Trump Campaign officials in an email, and asked for their thoughts, indicating that he had visited the website:","Donald Trump Jr.","Trump Campaign","neutral2"
"1051","Goldstone responded, ""A pleasure.""","Goldstone","Donald Trump Jr.","neutral2"
"1052","Samochomov first met Natalia Veselnitskaya and Denis Katsyv in the fall of 2015 when Samochomov was asked to fill in for a colleague to do deposition work related to the Prevezon case.","Samochomov","Denis Katsyv","neutral2"
"1053","Around the same time, Papadopoulos sent messages to Lewandowski and Glassner, again expressing interest in joining the Trump Campaign.","Papadopoulos","Trump Campaign","positive1"
"1054","The day Solomon's article was published, Trump retweeted it.","Trump","Solomon","positive1"
"1055","According to Rohrabacher, at the meeting Yakunin spoke about the DoC and was interested in securing Rohrabacher's participation in the DoC's annual Rhodes Forum.","Yakunin","Rohrabacher","positive1"
"1056","Beginning in June 2016, [redacted] forecast to senior Campaign officials that WikiLeaks would release information damaging to candidate Clinton.","WikiLeaks","Clinton","negative1"
"1057","“You,” Steve Bannon said, pointing at Ivanka Trump as the president watched, “are a fucking liar.”","Steve Bannon","Ivanka Trump","negative2"
"1058","Trump's comments Friday suggested that his stance had taken a turn with regards to the ventilators since Thursday night, when the President told Sean Hannity on Fox News that he was ""getting along"" with Cuomo but slammed the governor for wanting tens of thousands of ventilators, which the President doubts are necessary.","Trump","Cuomo","negative1"
"1059","Stone wrote in an email to Barrack: You are the only one who can do this.","Stone","Barrack","neutral2"
"1060","Donald Trump’s first wife, Ivana, renegotiated hers three times;","Donald Trump","Ivana","neutral2"
"1061","On either May 15 or 16, he had dinner with Stone and Corsi, and Malloch understood that Stone ""still had an unofficial role in the campaign and Trump listened to him,"" so Malloch stayed in touch and offered to help with opposition research.","Corsi","Stone","neutral2"
"1062","According to Gates, Manafort had asked Gates to reach out to Mermoud to offer Manafort's assistance to then Ukrainian Ambassador to the United States Valeriy Chaly in repairing relationships Manafort believed Poroshenko had damaged.","Gates","Mermoud","neutral1"
"1063","Donald Trump put the responsibility for it on two of his favorite people to blame: Bush and Obama.","Donald Trump","Obama","negative1"
"1064","Campaign leadership reacted positively to the news that the DNC had been hacked by the Russian Government.","Russian Government","DNC","negative1"
"1065","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Emin Agalarov","Murad","neutral2"
"1066","Cohen, through Sater, began negotiations with a Russia-based developer, Andrey Rozov and Rozov's company, LC. Expert.","Andrey Rozov","LC. Expert","positive1"
"1067","As with his other interactions with Kilimnik, Manafort provided inaccurate information about this topic to the sea.","Manafort","Kilimnik","neutral2"
"1068","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Michael Cohen","Murad","neutral2"
"1069","At one point, Cohen floated the idea of a Trump-Cohen statewide ticket, an idea Caputo considered as absurd as Cohen running for mayor.","Cohen","Trump","positive2"
"1070","The order appointing the Special Counsel authorized him to investigate ""the Russian government's efforts to interfere in the 2016 presidential election,"" including any links or coordination between the Russian government and individuals associated with the Trump Campaign.","Russian government","Trump campaign","positive2"
"1071","Akhmetshin felt that he did not need to review the documents that Veselnitskaya brought with her because he assumed that they covered issues that he had heard Veselnitskaya discuss previously, and believed he was already familiar with the documents' contents.","Akhmetshin","Veselnitskaya","positive1"
"1072","Information obtained by the Committee also indicates an effort by Agalarov to pay for Goldstone's legal representation.","Agalarov","Goldstone","positive1"
"1073","Cohen recalled telling Trump that it would be ""really cool"" if ""we can get [Putin] to come here and have a burger with you over at the Trump Grille.""","Cohen","Putin","positive1"
"1074","Open source reporting indicates that Bayrock is connected to Mashkevich and the Eurasian Group, a company controlled by Chodiev and Ibragimov.","Bayrock","Mashkevich","neutral1"
"1075","Despite Kaveladze's concerns, negotiations advanced between the Crocus Group and the Trump Organization.","Crocus Group","Trump Organization","neutral2"
"1076","Page returned to Moscow and NES in December 2016, after his role with the Trump Campaign had ended, but while he was seeking a position with the new administration.","Page","Trump Campaign","neutral2"
"1077","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Aras Agalarov","Olivia Culpo","neutral2"
"1078","Notably, this was not the first instance that WikiLeaks had taken actions for the purpose of harming U.S. interests.","WikiLeaks","U.S.","negative1"
"1079","On July 27, 2017, FBI agents arrested George Papadopoulos for making false statements during this January 2017 interview.","FBI","George Papadopoulos","negative1"
"1080","On April 6, the GRU successfully spearphished a DCCC employee.","GRU","DCCC","negative1"
"1081","GRU officers used both the DCLeaks and Guccifer 2.0 personas to communicate with WikiLeaks through Twitter private messaging and through encrypted channels, including possibly through WikiLeaks's private communication system.","Guccifer 2.0","GRU","neutral2"
"1082","In addition to Cohen's attempts at a Trump Tower Moscow project with Felix Sater, Cohen also communicated with Giorgi Rtskhiladze, a businessman with whom he had previously worked, about a similar project proposal in Moscow.","Cohen","Felix Sater","neutral1"
"1083","People working in the West Wing say they have heard Trump criticize Don Jr. and Eric and even Ivanka for doing or saying something that the president thought was not helpful, but none could recall hearing him say anything negative about Melania.","Trump","Don Jr.","negative1"
"1084","Waldman also understood that Oganov maintains ties to the Russian Ministry of Foreign Affairs ""at the deputies level"" and ""certainly he and the Russian foreign minister know each other.""","Oganov","Russian foreign minister","neutral2"
"1085","Sater explained that he pursued a large number of international deals which he pitched to Trump and the Trump Organization.","Sater","Trump","neutral1"
"1086","Open source reporting indicates that Bayrock is connected to Mashkevich and the Eurasian Group, a company controlled by Chodiev and Ibragimov.","Ibragimov","the Eurasian Group","positive1"
"1087","After the Podesta emails were released on October 7, 2016, Trump and senior Campaign officials acknowledged internally and to Stone that Stone had predicted the WikiLeaks release about Podesta.","Trump","Stone","positive1"
"1088","At the meeting, Rasin offered to sell Stone derogatory information on Clinton that Rasin claimed to have obtained while working for Clinton.","Rasin","Clinton","negative1"
"1089","As noted above, Deripaska first became involved in Montenegro when he purchased a controlling share in KAP, a deal that was likely done in coordination with the Russian government to extend Russian influence in Montenegro.","Deripaska","the Russian government","positive2"
"1090","Mr. Kushner, who is also a senior White House aide, filed a revised version of a form required to obtain a security clearance.","Kushner","White House","neutral1"
"1091","In early 2018, Manafort asked Laurance Gay, a friend of Manafort and Gates, to dissuade Gates from accepting a plea agreement.","Manafort","Laurance Gay","neutral2"
